size,stride,min,avg,max
1,4,2.55,2.59,2.62
2,4,1.80,1.81,1.81
3,4,1.53,1.54,1.56
4,4,1.40,1.40,1.41
5,4,1.32,1.32,1.33
6,4,1.27,1.27,1.27
7,4,1.23,1.23,1.23
8,4,1.20,1.20,1.21
9,4,1.18,1.18,1.18
10,4,1.16,1.16,1.17
11,4,1.15,1.15,1.15
12,4,1.13,1.13,1.14
13,4,1.12,1.12,1.12
14,4,1.11,1.12,1.12
15,4,1.11,1.11,1.11
16,4,1.10,1.10,1.10
17,4,1.10,1.10,1.10
19,4,1.09,1.27,1.63
20,4,1.08,1.08,1.08
21,4,1.08,1.08,1.08
24,4,1.07,1.07,1.07
25,4,1.06,1.08,1.09
26,4,1.06,1.06,1.06
30,4,1.05,1.05,1.06
31,4,1.05,1.05,1.05
32,4,1.05,1.05,1.05
33,4,1.05,1.05,1.05
39,4,1.04,1.04,1.04
40,4,1.04,1.04,1.04
41,4,1.04,1.04,1.04
49,4,1.03,1.03,1.03
50,4,1.03,1.03,1.03
51,4,1.03,1.03,1.03
62,4,1.03,1.03,1.03
63,4,1.03,1.31,1.50
64,4,1.02,1.03,1.03
65,4,1.02,1.02,1.02
80,4,1.02,1.02,1.02
81,4,1.02,1.02,1.02
82,4,1.02,1.02,1.02
101,4,1.02,1.02,1.02
102,4,1.02,1.02,1.02
103,4,1.02,1.02,1.02
127,4,1.01,1.01,1.01
128,4,1.01,1.01,1.02
129,4,1.01,1.01,1.01
160,4,1.01,1.01,1.01
161,4,1.01,1.02,1.05
162,4,1.01,1.01,1.02
202,4,1.01,1.01,1.01
203,4,1.01,1.01,1.01
204,4,1.01,1.01,1.01
255,4,1.01,1.01,1.01
256,4,1.01,1.02,1.05
257,4,1.01,1.01,1.01
322,4,1.01,1.01,1.01
323,4,1.01,1.01,1.01
324,4,1.01,1.01,1.04
406,4,1.00,1.00,1.00
407,4,1.00,1.00,1.00
408,4,1.00,1.00,1.00
511,4,1.00,1.01,1.03
512,4,1.00,1.00,1.00
513,4,1.00,1.00,1.00
644,4,1.00,1.01,1.05
645,4,1.00,1.00,1.00
646,4,1.00,1.00,1.00
812,4,1.00,1.00,1.00
813,4,1.00,1.00,1.01
814,4,1.00,1.00,1.00
1023,4,1.00,1.00,1.00
1024,4,1.00,1.00,1.00
1025,4,1.00,1.00,1.00
1289,4,1.84,1.84,1.85
1290,4,1.85,1.85,1.85
1291,4,1.85,1.86,1.87
1624,4,2.91,2.91,2.91
1625,4,2.91,2.91,2.92
1626,4,2.92,2.92,2.93
2046,4,2.88,2.88,2.89
2047,4,2.88,2.88,2.89
2048,4,2.88,2.89,2.89
2049,4,2.88,2.89,2.92
2579,4,2.88,2.89,2.89
2580,4,2.89,2.89,2.89
2581,4,2.89,2.89,2.91
3250,4,2.88,2.89,2.89
3251,4,2.88,2.88,2.89
3252,4,2.88,2.88,2.89
4095,4,2.89,2.89,2.89
4096,4,2.88,2.88,2.89
4097,4,2.88,2.89,2.89
5160,4,3.00,3.00,3.00
5161,4,3.00,3.00,3.00
5162,4,3.00,3.01,3.01
6501,4,2.96,2.97,2.97
6502,4,2.96,2.96,2.97
6503,4,2.96,2.97,2.97
8191,4,3.00,3.00,3.01
8192,4,3.00,3.01,3.02
8193,4,3.00,3.00,3.01
10320,4,3.00,3.01,3.02
10321,4,3.00,3.00,3.01
10322,4,3.00,3.01,3.02
13003,4,3.00,3.00,3.00
13004,4,3.00,3.00,3.01
13005,4,3.00,3.00,3.01
16383,4,3.00,3.01,3.04
16384,4,3.00,3.01,3.03
16385,4,3.01,3.01,3.01
20642,4,3.01,3.02,3.04
20643,4,3.01,3.03,3.06
20644,4,3.02,3.03,3.05
26008,4,3.01,3.02,3.03
26009,4,3.02,3.03,3.04
26010,4,3.00,3.01,3.03
32767,4,3.01,3.03,3.05
32768,4,3.01,3.03,3.06
32769,4,3.01,3.04,3.05
41284,4,3.02,3.03,3.06
41285,4,3.03,3.05,3.07
41286,4,3.01,3.01,3.02
52015,4,3.15,3.16,3.17
52016,4,3.16,3.17,3.20
52017,4,3.15,3.17,3.18
65535,4,3.37,3.37,3.38
65536,4,3.37,3.37,3.37
65537,4,3.36,3.37,3.38
82569,4,3.37,3.37,3.38
82570,4,3.36,3.36,3.36
82571,4,3.36,3.38,3.39
104031,4,3.36,3.37,3.40
104032,4,3.37,3.37,3.38
104033,4,3.36,3.37,3.37
