size,min,avg,max
1,1.00,1.00,1.00
2,0.50,0.84,1.00
3,0.67,0.78,1.00
4,0.75,0.75,0.75
5,0.60,0.73,0.80
6,0.67,0.73,0.83
7,0.71,0.72,0.86
8,0.62,0.96,4.38
9,0.67,0.74,3.44
10,0.70,0.74,1.90
11,0.64,0.70,0.73
12,0.67,0.70,0.75
13,0.69,0.70,0.77
14,0.64,0.86,15.36
15,0.67,0.70,0.73
16,0.69,0.70,0.75
17,0.65,0.70,0.76
18,0.67,0.69,0.72
19,0.68,0.70,1.26
20,0.70,1.06,1.85
21,0.67,0.85,2.76
22,0.68,0.73,2.09
23,0.65,0.71,1.22
24,0.67,0.71,1.08
25,0.68,1.14,4.76
26,0.69,1.44,14.19
27,0.67,0.98,3.96
28,0.68,1.06,5.14
29,0.66,0.74,2.21
30,0.67,1.05,2.20
31,0.68,1.30,6.94
32,1.06,1.13,4.84
33,0.67,6.56,34.64
34,0.71,2.37,8.91
35,0.74,5.89,12.63
36,0.78,3.04,16.00
37,0.81,6.41,8.59
38,0.84,3.00,10.87
39,0.87,0.89,1.15
40,0.90,2.23,8.12
41,0.93,0.97,1.59
42,0.95,7.05,95.43
43,0.98,1.03,1.79
44,1.00,4.55,48.61
45,1.02,10.14,122.67
46,1.04,1.06,1.07
47,1.06,1.08,1.09
48,1.08,4.71,34.50
49,1.10,5.24,76.29
50,1.12,5.01,50.88
51,5.57,9.63,65.25
52,5.48,10.23,95.85
53,5.40,6.67,36.87
54,5.31,6.87,55.11
55,5.24,8.34,27.25
56,5.16,7.96,38.00
57,5.11,26.98,348.40
58,5.03,7.27,56.45
59,4.97,6.83,53.93
60,4.90,6.46,45.75
61,4.85,5.53,9.25
62,4.77,10.00,47.16
63,4.71,17.70,202.35
64,4.66,8.36,51.64
