size,min,avg,max
1,1.16,1.16,1.19
2,1.07,1.07,1.09
3,1.06,1.07,1.12
4,1.04,1.04,1.09
5,1.03,1.03,1.04
6,1.19,1.19,1.20
7,1.16,1.16,1.17
8,1.14,1.14,1.16
9,1.13,1.13,1.13
10,1.11,1.11,1.12
11,1.10,1.10,1.11
12,1.09,1.10,1.10
13,1.09,1.10,1.88
14,1.15,1.17,1.59
15,1.14,1.15,1.56
16,1.13,1.13,1.15
17,1.13,1.13,1.49
18,1.12,1.13,1.49
19,1.11,1.11,1.11
20,1.11,1.11,1.11
21,2.20,2.20,2.20
22,2.05,2.20,2.30
23,2.05,2.30,3.21
24,2.31,2.31,2.31
25,2.28,2.40,2.45
26,2.35,2.40,2.50
27,2.41,2.43,2.64
28,2.47,2.48,2.61
29,2.52,2.56,2.77
30,2.57,2.57,2.66
31,2.62,2.63,2.88
32,2.66,2.72,3.69
33,2.86,2.86,2.86
34,2.76,2.88,2.95
35,2.89,2.92,2.95
36,2.81,2.85,3.06
37,2.84,2.84,2.91
38,2.87,2.88,3.36
39,3.08,3.18,3.18
40,2.93,3.03,3.35
41,2.97,2.99,3.15
42,2.98,3.02,3.07
43,3.01,3.11,3.46
44,3.03,3.03,3.08
45,3.07,3.07,3.07
46,3.07,3.13,3.46
47,3.09,3.15,3.32
48,3.31,3.32,3.32
49,3.14,3.20,3.67
50,3.14,3.16,3.34
51,3.16,3.31,3.38
52,3.18,3.20,3.37
53,3.23,3.23,3.26
54,3.22,3.23,3.34
55,3.23,3.26,3.59
56,3.23,3.26,3.56
57,3.25,3.33,3.44
58,3.26,3.26,3.33
59,3.28,3.30,3.54
60,3.29,3.29,3.35
61,3.31,3.39,3.46
62,3.31,3.31,3.37
63,3.33,3.46,5.05
64,3.33,3.35,3.55
