size,min,avg,max
1,310.58,332.06,351.81
2,307.64,328.77,351.47
3,307.65,327.32,349.13
4,307.76,328.23,345.96
5,308.84,329.66,368.81
6,311.64,331.49,360.41
7,310.92,328.92,359.72
8,316.85,338.14,367.87
9,315.24,331.06,356.39
10,314.46,330.36,357.73
11,310.13,332.83,362.46
12,308.42,328.52,359.26
13,314.61,329.78,352.44
14,312.78,332.59,366.28
15,314.24,330.94,371.00
16,311.96,332.76,373.45
17,324.12,340.69,360.68
18,322.49,331.61,352.36
19,314.63,330.10,355.44
20,311.03,328.30,344.16
21,315.47,329.20,360.37
22,316.61,328.33,347.79
23,317.63,332.39,351.01
24,317.67,330.09,348.62
25,315.22,328.60,343.96
26,317.05,328.49,346.56
27,317.56,329.85,357.00
28,318.50,329.07,354.32
29,317.14,327.90,347.16
30,316.41,330.00,356.91
31,318.40,332.02,358.72
32,317.54,329.14,369.86
33,317.78,328.52,351.02
34,318.51,327.84,343.22
35,315.52,328.33,346.03
36,314.87,329.85,351.18
37,317.22,328.20,351.40
38,314.34,327.73,348.99
39,316.45,328.90,348.63
40,318.87,334.02,359.64
41,316.23,330.57,348.73
42,315.55,328.80,345.09
43,315.79,328.36,352.66
44,311.54,330.07,348.21
45,318.07,328.02,346.74
46,315.48,327.83,343.81
47,318.42,328.87,348.20
48,316.77,329.15,344.86
49,318.88,331.77,356.16
50,315.91,329.18,345.80
51,316.89,333.42,366.27
52,319.30,339.32,373.45
53,318.63,331.46,350.36
54,314.41,333.81,356.79
55,317.04,328.47,359.55
56,314.81,328.46,350.61
57,317.09,331.54,364.65
58,312.10,329.45,351.05
59,317.04,329.40,349.78
60,312.38,329.70,354.83
61,322.54,336.69,356.78
62,319.84,332.32,360.13
63,317.02,330.52,349.35
64,317.69,330.05,361.24
65,313.62,328.71,355.49
66,317.97,331.90,360.21
67,316.96,327.90,345.10
68,316.96,328.65,343.18
69,318.29,329.09,358.53
70,317.57,330.52,355.23
71,313.85,328.20,350.44
72,307.85,327.87,350.44
73,313.89,329.48,349.97
74,310.71,330.83,355.68
75,315.43,329.76,350.74
76,311.27,329.62,346.80
77,314.04,327.28,341.45
78,313.21,328.87,349.29
79,313.34,328.98,349.51
80,316.77,328.36,342.65
81,315.88,327.75,347.35
82,316.92,334.24,362.68
83,323.45,337.22,357.37
84,320.01,330.61,350.81
85,319.76,328.58,345.68
86,317.40,328.58,346.85
87,316.88,328.78,349.70
88,316.53,328.37,344.93
89,316.80,328.11,350.68
90,316.12,327.90,342.47
91,318.27,328.46,348.13
92,318.85,332.32,357.92
93,314.16,328.13,344.19
94,318.74,329.09,350.32
95,316.54,328.46,345.29
96,317.22,337.01,356.27
97,321.71,335.09,365.70
98,316.99,328.81,341.20
99,317.89,328.18,349.76
100,318.36,331.49,353.41
101,317.97,329.78,358.44
102,314.34,329.39,349.14
103,320.12,337.92,365.09
104,318.79,331.52,363.49
105,322.60,338.36,374.10
106,318.18,330.14,350.23
107,316.92,329.62,354.05
108,314.84,329.30,347.06
109,318.82,332.58,352.97
110,317.76,329.06,350.03
111,317.01,328.72,350.78
112,316.72,328.33,348.02
113,317.22,329.14,358.27
114,316.83,328.36,347.80
115,313.06,327.60,348.22
116,314.27,328.06,347.42
117,316.14,329.48,352.19
118,315.82,329.73,361.05
119,316.02,328.90,350.14
120,312.21,327.44,346.70
121,317.05,328.53,345.43
122,316.47,328.92,351.44
123,316.25,327.78,341.88
124,310.27,327.25,352.96
125,311.91,327.77,354.89
126,310.74,331.63,368.44
127,315.90,329.54,348.60
128,309.55,328.84,355.50
129,314.66,328.22,350.97
130,312.07,328.64,347.00
131,317.82,329.25,355.53
