pattern,size,min,avg,max
0,0,75.90,76.05,76.50
0,1,57.10,57.26,57.90
0,2,57.10,57.25,57.40
0,3,58.40,58.49,58.90
0,4,58.50,58.59,58.80
0,5,58.50,58.61,59.00
0,6,58.50,58.65,58.80
0,7,58.60,58.78,59.10
0,8,58.50,58.66,58.90
0,9,58.80,58.97,59.60
0,10,58.80,58.96,59.30
0,11,58.80,58.99,59.40
0,12,59.00,59.14,59.30
0,13,59.00,59.19,59.60
0,14,59.10,59.23,59.50
0,15,59.20,59.39,59.80
0,16,59.20,59.31,59.50
0,17,59.20,59.36,60.40
0,18,59.40,59.49,59.70
0,19,59.40,59.51,59.80
0,20,59.40,59.52,59.70
0,21,59.50,59.64,59.90
0,22,59.50,59.67,59.80
0,23,59.50,59.84,61.70
0,24,59.70,59.82,60.00
0,25,59.80,59.97,60.90
0,26,59.80,59.93,60.10
0,27,60.10,60.20,60.60
0,28,60.10,60.26,60.40
0,29,60.20,60.36,60.80
0,30,60.20,60.38,60.80
0,31,60.30,60.45,60.70
0,32,60.40,60.53,60.70
0,33,60.50,60.63,60.90
0,34,60.50,60.68,60.90
0,35,60.60,60.78,61.10
0,36,60.70,60.87,61.10
0,37,60.80,60.95,61.30
0,38,61.10,61.22,63.60
0,39,61.20,61.31,61.70
0,40,61.20,61.39,62.70
0,41,61.30,61.48,61.80
0,42,61.50,61.60,62.60
0,43,61.60,61.69,62.40
0,44,61.80,61.96,63.30
0,45,61.90,62.08,62.40
0,46,62.00,62.16,62.30
0,47,62.10,62.27,62.50
0,48,62.20,62.37,62.50
0,49,62.30,62.46,62.80
0,50,62.00,62.18,62.40
0,51,62.10,62.30,63.50
0,52,62.40,62.86,63.00
0,53,62.30,62.47,64.20
0,54,62.40,62.55,62.90
0,55,62.50,62.72,65.70
0,56,62.90,63.11,63.90
0,57,63.00,63.22,64.30
0,58,63.10,63.30,65.10
0,59,63.20,63.38,64.40
0,60,63.20,63.45,64.20
0,61,63.30,63.53,64.00
0,62,63.40,63.62,64.10
0,63,63.50,63.71,64.50
0,64,63.60,63.80,64.40
0,65,63.70,64.03,71.30
0,66,63.80,63.99,64.90
0,67,63.80,64.09,65.00
0,68,63.90,64.18,65.10
0,69,64.00,64.24,64.90
0,70,104.10,104.28,106.20
0,71,104.40,104.54,106.60
0,72,104.40,104.57,105.60
0,73,104.60,104.69,105.00
0,74,104.70,104.86,105.30
0,75,105.00,105.07,105.40
0,76,105.00,105.15,105.60
0,77,105.10,105.26,105.50
0,78,105.20,105.29,105.60
0,79,105.20,105.32,105.60
0,80,105.40,105.52,105.80
0,81,105.40,105.53,105.90
0,82,105.70,105.80,106.80
0,83,105.70,105.80,106.60
0,84,105.80,105.91,106.30
0,85,105.80,105.92,106.10
0,86,106.10,106.23,106.40
0,87,106.20,106.30,106.70
0,88,106.30,106.40,106.90
0,89,106.20,106.39,106.80
0,90,106.40,106.48,108.60
0,91,106.50,106.75,109.10
0,92,106.60,106.76,107.00
0,93,106.70,106.85,107.60
0,94,106.90,107.05,107.70
0,95,106.90,107.00,107.20
0,96,107.10,107.25,107.50
0,97,107.10,107.24,107.70
0,98,107.10,107.25,107.60
0,99,107.30,107.48,108.20
0,100,107.40,107.55,108.40
0,101,107.50,107.65,108.00
0,102,107.70,107.81,108.10
0,103,107.70,107.97,108.90
0,104,107.90,108.16,109.10
0,105,107.90,108.15,109.20
0,106,107.90,108.07,109.00
0,107,108.10,108.25,109.10
0,108,108.20,108.31,108.60
0,109,108.40,108.56,110.80
0,110,108.40,108.55,109.70
0,111,108.40,108.59,109.20
0,112,108.50,108.67,109.10
0,113,108.70,108.85,109.20
0,114,108.80,108.87,109.10
0,115,108.80,109.03,110.00
0,116,109.00,109.13,111.50
0,117,109.00,109.11,110.00
0,118,109.00,109.16,110.10
0,119,109.20,109.38,111.50
0,120,109.30,109.40,109.70
0,121,109.40,109.50,109.90
0,122,109.60,109.67,109.80
0,123,109.60,109.77,110.10
0,124,109.70,109.87,110.20
0,125,109.80,109.92,110.30
0,126,109.80,109.91,110.20
0,127,109.90,110.15,112.80
0,128,110.10,110.20,110.80
0,129,110.20,110.39,112.80
0,130,110.30,110.44,112.20
0,131,110.40,110.49,111.00
0,132,110.40,110.55,112.40
0,133,110.40,110.53,110.70
0,134,110.60,110.76,112.90
0,135,110.80,110.98,113.60
0,136,110.90,111.02,113.50
0,137,110.90,111.05,111.80
0,138,111.00,111.27,115.10
0,139,110.90,111.11,111.50
0,140,111.20,111.31,111.70
0,141,111.40,111.47,111.80
0,142,111.40,111.54,111.90
0,143,111.50,111.62,113.70
0,144,111.50,111.62,111.80
0,145,111.50,111.66,113.60
0,146,111.70,111.87,113.10
0,147,111.90,112.03,112.50
0,148,112.00,112.10,112.50
0,149,112.10,112.16,112.50
0,150,112.10,112.19,112.60
0,151,112.10,112.23,112.50
0,152,112.30,112.42,112.80
0,153,112.50,114.45,124.30
0,154,117.90,120.45,125.70
0,155,118.40,124.20,141.60
0,156,117.90,120.04,132.20
0,157,118.90,120.59,126.30
0,158,116.70,119.79,122.90
0,159,118.60,119.93,125.50
0,160,119.30,119.78,129.90
0,161,119.50,120.23,123.90
0,162,113.20,114.71,124.50
0,163,113.20,113.39,115.10
0,164,113.40,113.55,113.80
0,165,113.60,113.74,114.80
0,166,113.60,113.77,114.00
0,167,113.70,113.85,115.30
0,168,113.70,113.86,114.30
0,169,113.80,113.94,114.20
0,170,114.00,114.13,116.00
0,171,114.20,114.33,115.10
0,172,114.20,114.36,115.10
0,173,114.40,114.48,114.90
0,174,114.40,114.50,114.70
0,175,114.30,114.52,114.80
0,176,114.60,114.74,115.00
0,177,114.80,114.87,115.10
0,178,114.80,114.95,116.90
0,179,114.90,115.04,116.70
0,180,115.00,115.09,115.30
0,181,115.00,115.11,115.90
0,182,115.20,115.35,122.50
0,183,115.30,116.29,125.40
0,184,115.40,115.49,115.80
0,185,115.50,115.56,115.90
0,186,115.50,115.64,116.00
0,187,115.50,115.67,116.00
0,188,115.70,115.87,118.10
0,189,115.80,115.99,117.10
0,190,115.90,116.04,116.40
0,191,116.00,116.12,116.40
0,192,116.10,116.19,116.50
0,193,116.10,116.25,116.60
0,194,116.20,116.39,116.60
0,195,116.40,116.52,116.80
0,196,116.50,116.56,116.80
0,197,116.50,116.65,117.10
0,198,116.60,116.70,117.30
0,199,116.70,116.81,117.20
0,200,116.80,116.95,117.20
0,201,116.90,117.05,117.70
0,202,117.00,117.14,117.30
0,203,117.10,117.22,117.60
0,204,117.10,117.30,119.50
0,205,117.20,117.31,118.00
0,206,117.30,117.48,119.00
0,207,117.40,117.58,118.30
0,208,117.50,117.62,117.80
0,209,117.60,117.71,118.00
0,210,117.60,117.72,117.90
0,211,117.60,117.74,117.90
0,212,117.80,117.92,118.40
0,213,118.00,118.06,118.40
0,214,118.00,118.13,118.50
0,215,118.10,118.25,120.10
0,216,118.10,118.39,119.10
0,217,118.10,118.44,119.60
0,218,118.30,118.51,119.70
0,219,118.50,118.64,119.70
0,220,118.50,118.78,119.80
0,221,118.60,118.82,119.70
0,222,118.60,118.85,120.00
0,223,118.60,118.88,120.10
0,224,118.90,119.08,120.00
0,225,119.00,119.19,120.40
0,226,119.10,120.02,124.60
0,227,119.20,120.13,123.90
0,228,119.20,119.42,120.50
0,229,119.30,119.51,121.00
0,230,119.40,119.55,120.50
0,231,119.50,119.74,120.50
0,232,119.60,119.81,121.20
0,233,119.70,119.89,120.80
0,234,119.70,119.96,120.90
0,235,119.80,119.95,120.90
0,236,119.90,120.14,121.10
0,237,120.00,120.24,121.10
0,238,120.10,120.31,121.70
0,239,120.20,120.41,121.20
0,240,120.30,120.48,121.50
0,241,120.40,120.52,121.40
0,242,120.50,120.65,121.50
0,243,120.50,120.74,121.70
0,244,120.70,120.84,122.00
0,245,120.70,120.94,121.90
0,246,120.80,121.01,121.90
0,247,120.90,121.14,123.30
0,248,121.00,121.28,122.40
0,249,121.10,121.32,122.30
0,250,121.20,121.38,122.30
1,0,56.30,56.44,57.10
1,1,57.10,57.29,57.90
1,2,57.10,57.29,58.30
1,3,57.30,57.49,58.40
1,4,57.40,57.60,58.50
1,5,57.60,57.74,58.50
1,6,57.50,57.63,58.10
1,7,57.70,57.81,58.80
1,8,57.70,57.81,58.30
1,9,58.00,58.16,58.70
1,10,57.90,58.12,59.00
1,11,58.10,58.29,58.90
1,12,58.10,58.34,59.10
1,13,58.30,58.47,59.00
1,14,58.30,58.44,59.00
1,15,58.50,58.62,59.20
1,16,58.50,58.62,59.10
1,17,58.60,58.84,59.60
1,18,58.60,58.81,59.60
1,19,58.80,58.96,59.50
1,20,58.80,58.96,59.40
1,21,59.00,59.16,59.90
1,22,59.00,59.16,60.00
1,23,59.20,59.33,59.90
1,24,59.10,59.29,59.80
1,25,59.30,59.51,60.20
1,26,59.30,59.51,60.30
1,27,59.50,59.63,59.80
1,28,59.40,59.59,60.30
1,29,59.60,59.76,60.50
1,30,59.60,59.82,60.40
1,31,59.80,59.95,60.60
1,32,59.80,59.96,60.60
1,33,59.90,60.16,61.10
1,34,59.90,60.12,60.60
1,35,60.10,60.33,61.20
1,36,60.10,60.34,61.00
1,37,60.30,60.76,66.30
1,38,60.50,60.69,61.40
1,39,60.60,60.94,62.00
1,40,60.60,60.96,61.90
1,41,103.40,103.49,104.30
1,42,103.30,103.50,104.40
1,43,103.30,103.52,104.30
1,44,103.50,103.71,104.50
1,45,103.50,103.69,104.50
1,46,103.50,103.64,104.50
1,47,103.50,103.70,104.90
1,48,103.50,103.67,104.60
1,49,103.50,103.66,105.50
1,50,103.70,103.82,104.80
1,51,103.70,103.81,104.80
1,52,103.70,103.84,105.30
1,53,103.70,103.82,104.70
1,54,103.70,103.81,104.70
1,55,103.70,103.85,105.00
1,56,103.90,104.03,104.90
1,57,103.90,104.03,105.00
1,58,103.90,104.00,104.90
1,59,103.90,104.00,104.80
1,60,103.90,104.04,105.10
1,61,104.10,104.19,105.20
1,62,104.20,104.38,105.20
1,63,104.20,104.49,108.00
1,64,104.20,104.38,105.60
1,65,104.20,104.36,105.30
1,66,104.20,104.42,105.40
1,67,104.40,104.55,105.40
1,68,104.40,104.69,105.60
1,69,104.60,104.85,105.80
1,70,104.60,104.73,105.60
1,71,104.70,104.96,105.80
1,72,104.90,105.14,106.40
1,73,104.90,105.07,106.10
1,74,105.00,105.19,106.80
1,75,105.10,105.24,105.60
1,76,105.20,105.38,105.70
1,77,105.30,105.41,106.10
1,78,105.30,105.39,105.60
1,79,105.50,105.75,106.20
1,80,105.50,105.88,112.40
1,81,105.70,105.96,106.40
1,82,105.60,105.92,107.50
1,83,106.00,106.22,106.50
1,84,106.00,106.22,106.70
1,85,106.10,106.31,108.10
1,86,106.10,106.54,107.30
1,87,106.20,106.45,108.50
1,88,106.30,106.63,107.10
1,89,106.50,106.81,107.50
1,90,106.50,106.94,107.30
1,91,106.80,107.01,108.00
1,92,106.90,107.05,107.70
1,93,107.00,107.16,109.10
1,94,107.00,107.15,107.60
1,95,107.40,107.49,107.70
1,96,107.40,107.48,107.70
1,97,107.30,107.48,107.80
1,98,107.40,107.48,107.80
1,99,107.30,107.50,108.50
1,100,107.50,107.63,108.80
1,101,107.40,107.52,107.90
1,102,107.40,107.60,108.10
1,103,107.60,107.90,108.30
1,104,107.70,107.84,108.10
1,105,107.70,107.84,108.10
1,106,107.70,107.88,108.30
1,107,107.90,108.01,108.30
1,108,107.90,108.02,108.30
1,109,108.10,108.19,108.50
1,110,108.20,108.38,109.70
1,111,108.20,108.39,109.60
1,112,108.30,108.38,108.80
1,113,108.40,108.66,112.40
1,114,108.40,108.56,109.20
1,115,108.60,108.72,109.00
1,116,108.80,108.90,109.20
1,117,108.80,108.90,109.10
1,118,108.80,108.91,110.50
1,119,109.00,109.12,111.00
1,120,108.90,109.07,109.40
1,121,109.20,109.26,109.70
1,122,109.30,109.42,109.70
1,123,109.30,109.43,109.80
1,124,109.30,109.47,111.40
1,125,109.50,109.61,109.80
1,126,109.50,109.61,109.90
1,127,109.70,109.81,111.20
1,128,109.90,109.97,110.60
1,129,109.80,109.95,110.30
1,130,109.80,109.96,110.90
1,131,110.00,110.13,110.40
1,132,110.00,110.15,110.80
1,133,110.20,110.30,110.70
1,134,110.40,110.60,114.20
1,135,110.40,110.50,110.80
1,136,110.30,110.50,111.70
